Date,Open,High,Low,Close,Adj Close,Volume
2023-01-18,200.4,201.09,196.56,196.62,192.19,3890200.0
2023-01-17,200.04,200.88,199.34,199.77,195.26,5426700.0
2023-01-13,197.62,200.27,197.3,200.04,195.53,2798600.0
2023-01-12,198.79,199.8,196.63,199.19,194.7,3552700.0
2023-01-11,196.55,198.25,196.15,198.23,193.76,3435300.0
2023-01-10,193.65,195.65,193.29,195.65,191.24,2963500.0
2023-01-09,195.46,196.89,194.01,194.12,189.74,3888300.0
2023-01-06,191.12,194.64,189.85,194.04,189.66,3184300.0
2023-01-05,191.22,191.27,189.46,189.85,185.57,4150000.0
2023-01-04,191.51,193.06,190.14,192.1,187.77,3852500.0
2023-01-03,192.38,193.36,188.93,190.41,186.12,4092500.0
2022-12-30,190.18,191.27,189.28,191.19,186.88,5979800.0
2022-12-29,189.49,192.16,189.37,191.68,187.36,5425700.0
2022-12-28,190.65,191.5,188.06,188.22,183.97,5711900.0
2022-12-27,191.39,191.52,189.75,190.62,186.32,6037700.0
2022-12-23,190.0,191.44,189.01,191.42,187.1,4214400.0
2022-12-22,191.61,191.68,187.38,190.37,186.08,5153500.0
2022-12-21,192.47,194.65,192.2,194.04,188.75,4973400.0
2022-12-20,190.42,191.97,189.73,191.15,185.94,5637800.0
2022-12-19,192.8,192.92,189.95,190.75,185.55,6433800.0
2022-12-16,193.51,194.22,191.42,192.69,187.44,4755400.0
2022-12-15,197.21,197.71,194.07,194.92,189.61,5537100.0
2022-12-14,200.92,202.72,198.27,199.9,194.45,3331200.0
2022-12-13,205.63,205.63,199.62,201.02,195.54,4191900.0
2022-12-12,197.0,199.53,196.7,199.53,194.09,3931600.0
2022-12-09,197.53,198.83,196.62,196.7,191.34,3784900.0
2022-12-08,197.55,198.92,196.82,198.36,192.96,3982600.0
2022-12-07,196.45,197.97,196.02,196.66,191.3,3438100.0
2022-12-06,199.91,200.05,195.84,196.98,191.61,3901000.0
2022-12-05,202.51,202.96,199.25,199.98,194.53,3840500.0
2022-12-02,201.55,204.48,201.2,203.99,198.43,2917100.0
2022-12-01,204.83,205.47,202.79,204.18,198.62,4354300.0
2022-11-30,198.14,204.1,197.04,204.06,198.5,4201300.0
2022-11-29,198.49,199.06,197.1,197.96,192.57,2640700.0
2022-11-28,199.93,200.76,197.8,198.27,192.87,3365800.0
2022-11-25,201.22,201.83,201.03,201.54,196.05,1289100.0
2022-11-23,200.0,201.76,199.83,201.39,195.9,2685700.0
2022-11-22,198.13,200.29,197.79,200.17,194.72,3390300.0
2022-11-21,197.72,198.21,196.65,197.58,192.2,2961700.0
2022-11-18,199.08,199.41,196.9,198.42,193.01,3039000.0
2022-11-17,195.67,197.9,195.45,197.49,192.11,3704700.0
2022-11-16,199.45,199.72,198.03,198.32,192.92,2905000.0
2022-11-15,201.5,202.14,198.34,200.36,194.9,4606200.0
2022-11-14,199.26,200.92,198.21,198.35,192.95,4248200.0
2022-11-11,198.58,200.7,197.82,200.16,194.71,4550200.0
2022-11-10,194.35,198.31,193.65,198.14,192.74,3981600.0
2022-11-09,190.46,191.04,187.21,187.53,182.42,13959600.0
2022-11-08,191.25,193.31,189.42,191.66,186.44,4847500.0
2022-11-07,189.59,190.97,188.47,190.66,185.47,3420000.0
2022-11-04,189.32,190.3,185.75,188.94,183.79,3586200.0
2022-11-03,186.5,188.09,185.13,186.54,181.46,3935600.0
2022-11-02,193.07,195.27,188.29,188.34,183.21,4686000.0
2022-11-01,196.0,196.44,192.76,193.43,188.16,9873800.0
2022-10-31,193.99,195.17,193.51,194.03,188.74,5053900.0
2022-10-28,190.84,195.53,190.74,195.29,189.97,3178800.0
2022-10-27,192.46,193.47,190.61,190.85,185.65,3556300.0
2022-10-26,191.26,194.64,191.26,191.75,186.53,4091100.0
2022-10-25,189.57,193.16,189.53,192.94,187.68,3287100.0
2022-10-24,188.38,190.12,186.69,189.51,184.35,4527800.0
2022-10-21,182.99,187.78,182.29,187.49,182.38,3381200.0
2022-10-20,184.54,186.99,182.81,183.27,178.28,2636200.0
2022-10-19,185.25,186.64,183.34,184.87,179.83,2589100.0
2022-10-18,188.14,188.7,184.71,186.46,181.38,3906800.0
2022-10-17,182.76,184.81,182.58,184.21,179.19,4025800.0
2022-10-14,185.09,185.99,179.14,179.42,174.53,3798800.0
2022-10-13,176.37,184.55,174.84,183.75,178.74,5626900.0
2022-10-12,180.17,180.73,178.95,179.3,174.42,5016700.0
